,year,selling_price,km_driven,fuel,seller_type,transmission,owner
0,2007,60000,70000,1,0,0,0
1,2007,135000,50000,1,0,0,0
2,2012,600000,100000,0,0,0,0
3,2017,250000,46000,1,0,0,0
4,2014,450000,141000,0,0,0,1
5,2007,140000,125000,1,0,0,0
6,2016,550000,25000,1,0,0,0
7,2014,240000,60000,1,0,0,1
8,2015,850000,25000,1,0,0,0
9,2017,365000,78000,2,0,0,0
10,2015,260000,35000,1,0,0,0
11,2014,250000,100000,1,0,0,0
12,2018,1650000,25000,1,1,1,0
13,2007,60000,70000,1,0,0,0
14,2007,135000,50000,1,0,0,0
15,2012,600000,100000,0,0,0,0
16,2017,250000,46000,1,0,0,0
17,2014,450000,141000,0,0,0,1
18,2007,140000,125000,1,0,0,0
19,2016,550000,25000,1,0,0,0
20,2014,240000,60000,1,0,0,1
21,2015,850000,25000,1,0,0,0
22,2017,365000,78000,2,0,0,0
23,2015,260000,35000,1,0,0,0
24,2014,250000,100000,1,0,0,0
25,2018,1650000,25000,1,1,1,0
26,2015,585000,24000,1,1,0,0
27,2019,1195000,5000,0,1,0,0
28,2013,390000,33000,0,0,0,1
29,2014,1964999,28000,0,1,1,0
30,2013,1425000,59000,0,1,1,0
31,2018,975000,4500,0,1,1,0
32,2011,1190000,175900,0,1,1,0
33,2018,930000,14500,1,1,0,0
34,2018,525000,15000,1,0,0,0
35,2013,1735000,50000,0,1,1,0
36,2012,1375000,33800,0,1,1,1
37,2011,450000,130400,0,1,1,1
38,2016,900000,50000,1,0,1,0
39,2015,1300000,80000,0,0,0,0
40,2019,1400000,10000,1,0,0,0
41,2010,850000,119000,1,1,1,0
42,2014,229999,60000,1,0,0,3
43,2013,1550000,75800,0,1,1,1
44,2009,1250000,78000,0,1,1,2
45,2012,625000,40000,0,0,0,0
46,2014,1050000,50000,0,0,0,0
47,2014,560000,74000,0,0,0,1
48,2014,290000,64000,1,0,0,1
49,2012,275000,60000,1,0,0,1
50,2009,411000,120000,0,0,0,1
51,2009,150000,79000,1,0,0,2
52,2019,500000,15000,1,0,0,0
53,2006,100000,80000,1,0,0,0
54,2017,725000,18500,0,1,0,0
55,2018,401000,10200,1,1,0,0
56,2018,750000,29000,0,1,0,0
57,2018,310000,28000,1,1,0,0
58,2016,665000,46000,0,1,0,0
59,2014,465000,70000,0,1,0,0
60,2012,160000,60000,1,0,0,1
61,1996,250000,35000,0,0,0,1
62,2014,675000,90000,0,1,0,0
63,2013,300000,80000,1,1,0,0
64,2005,70000,80000,0,0,0,0
65,2014,240000,73300,1,1,0,1
66,2014,525000,92000,0,1,0,0
67,2009,151000,66764,1,1,0,1
68,2009,140000,100000,1,0,0,0
69,2010,280000,350000,0,0,0,1
70,2011,350000,230000,0,0,0,0
71,2017,570000,60000,0,0,0,0
72,2018,300000,31000,1,0,0,0
73,2007,100000,39000,0,0,0,0
74,2009,500000,120000,0,0,0,2
75,2014,125000,166000,0,0,0,3
76,2006,130000,110000,1,0,0,2
77,2017,925000,35000,0,0,0,0
78,2018,750000,60000,0,0,0,0
79,2007,200000,54000,1,0,1,1
80,2010,248000,63000,1,0,0,1
81,2014,450000,120000,0,0,0,1
82,2005,80000,120000,1,0,0,2
83,2014,650000,76000,1,0,0,1
84,2015,450000,80000,0,0,0,0
85,2019,650000,25000,0,0,0,0
86,2016,495000,11958,1,1,0,0
87,2015,371000,20000,1,1,0,0
88,2017,1025000,9000,1,1,0,0
89,2015,750000,70000,0,0,0,0
90,2013,600000,120000,0,0,0,0
91,2007,80000,58000,1,1,0,1
92,2013,325000,62200,0,1,0,0
93,2014,1470000,34000,0,1,1,1
94,2015,350000,53000,0,0,0,1
95,2013,2800000,49000,0,1,1,0
96,2017,210000,15000,1,1,0,1
97,2013,450000,50000,1,0,0,0
98,2013,1150000,53000,0,1,1,0
99,2009,210000,63500,1,1,1,0
100,2018,4500000,9800,1,1,1,0
101,2017,2750000,13000,0,0,1,0
102,2018,1975000,21000,0,1,1,0
103,2008,175000,29173,1,1,0,0
104,2012,2500000,48000,0,1,1,0
105,2017,628000,120000,0,0,0,0
106,2010,600000,100000,0,0,0,0
107,2017,399000,30000,1,0,0,0
108,2018,750000,87000,0,0,0,0
109,2019,750000,15000,1,0,0,0
110,2017,315000,16000,1,0,0,0
111,2012,600000,60000,0,0,0,0
112,2010,100000,60000,1,0,0,3
113,2011,250000,110000,1,0,0,2
114,2017,350000,25000,1,0,0,0
115,2016,780000,60000,0,0,0,0
116,2014,434000,79350,0,0,0,1
117,2016,690000,80000,1,0,1,0
118,2014,555000,90000,0,0,0,1
119,2007,120000,90000,1,0,0,1
120,2014,500000,120000,0,0,0,1
121,2013,165000,60000,0,0,0,1
122,2004,95000,50000,1,0,0,0
123,2018,550000,20000,1,0,0,0
124,2007,100000,110000,0,0,0,3
125,2012,100000,50000,1,0,0,1
126,2012,500000,100000,0,0,0,0
127,2016,800000,70000,0,0,0,1
128,2016,840000,70000,0,0,0,1
129,2016,490000,50000,1,0,0,0
130,2010,125000,81000,0,0,0,1
131,2012,400000,120000,0,0,0,2
132,2015,1000000,3600,0,1,0,0
133,2015,530000,14272,1,1,0,0
134,2017,840000,49213,0,1,0,0
135,2015,229999,40000,1,0,0,0
136,1998,40000,40000,1,0,0,3
137,2012,130000,80000,1,0,0,0
138,2015,200000,70000,1,0,0,0
139,2011,120000,70000,0,0,0,0
140,2003,75000,57000,1,0,0,0
141,2016,250000,120000,0,0,0,0
142,2005,100000,30000,1,0,0,0
143,2013,280000,3240,1,0,0,1
144,2015,540000,5000,1,0,0,0
145,2018,700000,10000,1,0,0,0
146,2015,525000,100000,0,0,0,0
147,2016,430000,80000,0,0,0,0
148,2002,65000,70000,1,0,0,0
149,2018,800000,35000,0,0,0,0
150,2007,75000,114000,1,0,0,1
151,2008,210000,53772,1,0,0,0
152,2012,195000,140000,0,0,0,1
153,2015,400000,120000,0,0,0,0
154,2012,170000,60000,1,0,0,0
155,2016,225000,25000,1,0,0,0
156,2014,210000,90000,3,0,0,0
157,2020,240000,120000,1,0,0,0
158,2015,300000,175000,0,0,0,0
159,2011,99000,100000,1,0,0,2
160,2014,620000,36000,1,0,0,0
161,2013,500000,30000,0,0,0,0
162,2010,2550000,40000,1,0,1,1
163,2013,260000,70000,1,0,0,1
164,2017,550000,60000,1,0,0,0
165,2011,150000,155500,0,0,0,0
166,2011,350000,50000,1,0,1,1
167,2016,320000,40000,1,0,0,0
